slug,startAt,discoveredAt,discovery_lead_seconds,outcome,yesTouched,noTouched,yesFirstTouchAt,noFirstTouchAt,pnl_per_share,yes_actual_ask,no_actual_ask,actual_touch_pnl_per_share,beijing_day,beijing_hour,time_block
btc-updown-5m-1783272600,2026-07-05 17:30:00+00:00,2026-07-05 17:20:03.344000+00:00,596.656,paired,True,True,2026-07-05T17:32:25.369Z,2026-07-05T17:32:03.403Z,0.42,0.29,0.29,0.42,2026-07-06,1,00-04
btc-updown-5m-1783272900,2026-07-05 17:35:00+00:00,2026-07-05 17:25:03.455000+00:00,596.545,paired,True,True,2026-07-05T17:39:56.020Z,2026-07-05T17:37:31.976Z,0.42,0.27,0.29,0.44,2026-07-06,1,00-04
btc-updown-5m-1783273200,2026-07-05 17:40:00+00:00,2026-07-05 17:30:03.317000+00:00,596.683,single,True,False,2026-07-05T17:43:06.719Z,,-0.29,0.29,,-0.29,2026-07-06,1,00-04
btc-updown-5m-1783273500,2026-07-05 17:45:00+00:00,2026-07-05 17:35:03.298000+00:00,596.702,single,False,True,,2026-07-05T17:45:49.530Z,-0.29,,0.29,-0.29,2026-07-06,1,00-04
btc-updown-5m-1783273800,2026-07-05 17:50:00+00:00,2026-07-05 17:40:03.306000+00:00,596.694,single,True,False,2026-07-05T17:52:00.978Z,,-0.29,0.29,,-0.29,2026-07-06,1,00-04
btc-updown-5m-1783274100,2026-07-05 17:55:00+00:00,2026-07-05 17:45:03.348000+00:00,596.652,single,False,True,,2026-07-05T17:57:36.561Z,-0.29,,0.29,-0.29,2026-07-06,1,00-04
btc-updown-5m-1783274400,2026-07-05 18:00:00+00:00,2026-07-05 17:50:03.332000+00:00,596.668,single,False,True,,2026-07-05T18:02:42.984Z,-0.29,,0.29,-0.29,2026-07-06,1,00-04
btc-updown-5m-1783274700,2026-07-05 18:05:00+00:00,2026-07-05 17:55:03.340000+00:00,596.66,paired,True,True,2026-07-05T18:08:58.432Z,2026-07-05T18:05:32.097Z,0.42,0.23,0.29,0.48000000000000004,2026-07-06,2,00-04
btc-updown-5m-1783275000,2026-07-05 18:10:00+00:00,2026-07-05 18:00:03.397000+00:00,596.603,single,True,False,2026-07-05T18:14:29.800Z,,-0.29,0.17,,-0.17,2026-07-06,2,00-04
btc-updown-5m-1783275300,2026-07-05 18:15:00+00:00,2026-07-05 18:05:03.423000+00:00,596.577,single,False,True,,2026-07-05T18:16:09.615Z,-0.29,,0.29,-0.29,2026-07-06,2,00-04
btc-updown-5m-1783275600,2026-07-05 18:20:00+00:00,2026-07-05 18:10:03.389000+00:00,596.611,paired,True,True,2026-07-05T18:24:41.426Z,2026-07-05T18:23:05.753Z,0.42,0.26,0.29,0.45,2026-07-06,2,00-04
btc-updown-5m-1783275900,2026-07-05 18:25:00+00:00,2026-07-05 18:15:03.604000+00:00,596.396,paired,True,True,2026-07-05T18:29:54.865Z,2026-07-05T18:25:46.604Z,0.42,0.29,0.29,0.42,2026-07-06,2,00-04
btc-updown-5m-1783276200,2026-07-05 18:30:00+00:00,2026-07-05 18:20:03.523000+00:00,596.477,single,False,True,,2026-07-05T18:31:25.699Z,-0.29,,0.29,-0.29,2026-07-06,2,00-04
btc-updown-5m-1783276500,2026-07-05 18:35:00+00:00,2026-07-05 18:25:03.548000+00:00,596.452,paired,True,True,2026-07-05T18:35:16.229Z,2026-07-05T18:38:48.466Z,0.42,0.29,0.28,0.42999999999999994,2026-07-06,2,00-04
btc-updown-5m-1783276800,2026-07-05 18:40:00+00:00,2026-07-05 18:30:03.536000+00:00,596.464,single,False,True,,2026-07-05T18:43:32.514Z,-0.29,,0.29,-0.29,2026-07-06,2,00-04
btc-updown-5m-1783277100,2026-07-05 18:45:00+00:00,2026-07-05 18:35:03.554000+00:00,596.446,paired,True,True,2026-07-05T18:45:22.051Z,2026-07-05T18:49:01.594Z,0.42,0.24,0.29,0.47000000000000003,2026-07-06,2,00-04
btc-updown-5m-1783277400,2026-07-05 18:50:00+00:00,2026-07-05 18:40:03.627000+00:00,596.373,paired,True,True,2026-07-05T18:50:14.852Z,2026-07-05T18:51:27.280Z,0.42,0.26,0.21,0.53,2026-07-06,2,00-04
